accident_month,0,1,2,3,4,5,6
2024-01,93900017.81,364176119.69,423890866.11,429337696.07,430199143.15999997,430199143.15999997,430199143.15999997
2024-02,76060012.26,347197488.86,394941938.21000004,400180935.53000003,401349540.06,401349540.06,401349540.06
2024-03,93575948.78,368667054.70000005,422584252.58000004,427934449.89000005,428605363.76000005,428605363.76000005,428605363.76000005
2024-04,84970574.46,362728943.84999996,415152445.63,420463208.34,421535608.65999997,421535608.65999997,
2024-05,93827105.7,370526083.27,424571974.09999996,429684823.9,430403636.94,,
2024-06,85159902.04,360651418.46000004,409610377.72,415983501.63000005,,,
2024-07,93759175.07,375180642.83,424058042.65,,,,
2024-08,93823187.09,370857037.20000005,,,,,
2024-09,84407073.13,,,,,,
