accident_month,0,1,2,3,4,5,6
2024-01,204634.48,772684.16,864478.65,864478.65,864478.65,864478.65,864478.65
2024-02,145171.09,610508.3,670708.3400000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001
2024-03,157136.06,684393.28,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001
2024-04,170291.58,798046.12,832691.9,832691.9,832691.9,832691.9,832691.9
2024-05,207459.27,764740.24,844930.84,844930.84,844930.84,844930.84,844930.84
2024-06,197486.67,772713.9,963921.9,963921.9,963921.9,963921.9,963921.9
2024-07,188960.96,710327.18,798848.4,798848.4,798848.4,798848.4,
2024-08,176379.5,676930.52,761611.46,761611.46,761611.46,,
2024-09,152900.53,789015.53,816154.28,816154.28,,,
2024-10,214757.0,760100.14,836052.34,,,,
2024-11,142136.33,630567.22,,,,,
2024-12,170021.28,,,,,,
