accident_month,0,1,2,3,4,5,6
2024-01,204634.48,772684.16,864478.65,864478.65,864478.65,864478.65,864478.65
2024-02,145171.09,610508.3,670708.3400000001,696601.2300000001,696601.2300000001,696601.2300000001,696601.2300000001
2024-03,157136.06,684393.28,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001,767894.6900000001
2024-04,170291.58,798046.12,832691.9,832691.9,832691.9,832691.9,
2024-05,207459.27,764740.24,844930.84,844930.84,844930.84,,
2024-06,197486.67,772713.9,963921.9,963921.9,,,
2024-07,188960.96,710327.18,798848.4,,,,
2024-08,176379.5,676930.52,,,,,
2024-09,152900.53,,,,,,
